county_fips,lat,lon,weight
17079,39.1,-87.9,0.0013048194080055643
17079,39.0,-88.4,0.009176895824164854
17079,39.0,-88.3,0.07452067195804302
17079,39.0,-88.2,0.07452067195803677
17079,39.0,-88.1,0.07452067195803778
17079,39.0,-88.0,0.07452067195803941
17079,39.0,-87.9,0.0029619891174627027
17079,38.9,-88.4,0.008708635484561649
17079,38.9,-88.3,0.07444408977442558
17079,38.9,-88.2,0.07462417183136472
17079,38.9,-88.1,0.07462417183136663
17079,38.9,-88.0,0.07461391838336948
17079,38.9,-87.9,0.003459978462421126
17079,38.8,-88.3,0.0007347171311121199
17079,38.8,-88.2,0.0021741307608673004
17079,38.8,-88.1,0.0012829590443373473
17079,38.8,-88.0,0.00018961813929988235
17171,39.8,-90.6,0.033292237521675004
17171,39.8,-90.5,0.03994154868930808
17171,39.8,-90.4,0.0036599852062038645
17171,39.7,-90.6,0.12042682271131916
17171,39.7,-90.5,0.14552331214745198
17171,39.7,-90.4,0.11836819102188224
17171,39.7,-90.3,0.0027401934887090833
17171,39.6,-90.6,0.06478043899557626
17171,39.6,-90.5,0.14573059834179397
17171,39.6,-90.4,0.14573059834179813
17171,39.6,-90.3,0.06369978838384505
17171,39.5,-90.6,0.010811421449456545
17171,39.5,-90.5,0.041936587119946724
17171,39.5,-90.4,0.042597632671704286
17171,39.5,-90.3,0.020760643909329683
17185,38.6,-88.0,0.0018973715170516
17185,38.6,-87.9,0.03285784628546128
17185,38.6,-87.8,0.03164088833727395
17185,38.6,-87.7,0.028954708886492216
17185,38.5,-88.0,0.00237072372523999
17185,38.5,-87.9,0.15971054618853406
17185,38.5,-87.8,0.16312309202734432
17185,38.5,-87.7,0.0945210398193234
17185,38.5,-87.6,0.0006234638581495068
17185,38.4,-88.0,0.024213231441814982
17185,38.4,-87.9,0.16376707020694217
17185,38.4,-87.8,0.13823777708408333
17185,38.4,-87.7,0.007131015744973591
17185,38.3,-88.0,0.024586624246717596
17185,38.3,-87.9,0.10126386881982807
17185,38.3,-87.8,0.022367874699581815
17185,38.2,-88.0,0.002732857111188067
17047,38.6,-88.1,0.031955166779818606
17047,38.6,-88.0,0.032105789748219545
17047,38.5,-88.1,0.16449388862882613
17047,38.5,-88.0,0.1654546799292603
17047,38.5,-87.9,0.00472073839406317
17047,38.4,-88.1,0.16556510030686739
17047,38.4,-88.0,0.14336995859599128
17047,38.4,-87.9,0.0008056782383118619
17047,38.3,-88.2,0.0002519682863743416
17047,38.3,-88.1,0.15777338830957383
17047,38.3,-88.0,0.13296714193567125
17047,38.3,-87.9,0.000536500847022233
39043,41.6,-82.7,0.016670900162044085
39043,41.5,-82.8,0.010854109903835993
39043,41.5,-82.7,0.012499084786142596
39043,41.5,-82.6,0.0001551833221328089
39043,41.4,-82.9,0.005527676644851416
39043,41.4,-82.8,0.13320518788769262
39043,41.4,-82.7,0.1392957227231428
39043,41.4,-82.6,0.09809433851106017
39043,41.4,-82.5,0.0504248998978259
39043,41.4,-82.4,0.0849331715024751
39043,41.4,-82.3,0.0038333320408120396
39043,41.3,-82.8,0.07904630107488744
39043,41.3,-82.7,0.08755624804189269
39043,41.3,-82.6,0.08901928726687303
39043,41.3,-82.5,0.09085944753987624
39043,41.3,-82.4,0.09216845288741488
39043,41.3,-82.3,0.005856655807040253
29201,37.3,-89.5,0.0006346991252828684
29201,37.2,-89.7,0.02307161347490986
29201,37.2,-89.6,0.07236824512025519
29201,37.2,-89.5,0.08017872301369605
29201,37.2,-89.4,0.0023039847712375988
29201,37.1,-89.8,0.017767081477700012
29201,37.1,-89.7,0.08706484118508218
29201,37.1,-89.6,0.08943114190488625
29201,37.1,-89.5,0.08943114190489027
29201,37.1,-89.4,0.04895568717409177
29201,37.0,-89.8,0.0011472086512190987
29201,37.0,-89.7,0.07337551672711784
29201,37.0,-89.6,0.08954703576221111
29201,37.0,-89.5,0.08954703576221257
29201,37.0,-89.4,0.06914974276049775
29201,37.0,-89.3,0.003533129261131736
29201,36.9,-89.7,0.034115316667258
29201,36.9,-89.6,0.07591011877263244
29201,36.9,-89.5,0.04988772302406774
29201,36.9,-89.4,0.002580013459619643
29069,36.6,-90.2,0.014261656605117143
29069,36.6,-90.1,0.056482303831147426
29069,36.6,-90.0,0.050521201455690334
29069,36.5,-90.2,0.024023745800979632
29069,36.5,-90.1,0.06880203317006779
29069,36.5,-90.0,0.06434388297169952
29069,36.4,-90.1,0.03448368322440676
